"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Jakeem Grant",3000,"NYJ@Mia 01:00PM ET",0.857,"Mia"
"WR","Devin Smith",3000,"NYJ@Mia 01:00PM ET",0,"NYJ"
"WR","Robby Anderson",3000,"NYJ@Mia 01:00PM ET",4.150,"NYJ"
"WR","Leonte Carroo",3000,"NYJ@Mia 01:00PM ET",0.486,"Mia"
"WR","Jalin Marshall",3000,"NYJ@Mia 01:00PM ET",1.917,"NYJ"
"RB","Anthony Sherman",3000,"Jax@KC 01:00PM ET",0.329,"KC"
"RB","Denard Robinson",3000,"Jax@KC 01:00PM ET",0.443,"Jax"
"RB","Corey Grant",3000,"Jax@KC 01:00PM ET",2.125,"Jax"
"WR","Bryan Walters",3000,"Jax@KC 01:00PM ET",3.133,"Jax"
"WR","Arrelious Benn",3000,"Jax@KC 01:00PM ET",2.857,"Jax"
"WR","Albert Wilson",3000,"Jax@KC 01:00PM ET",3.057,"KC"
"WR","Rashad Greene Sr.",3000,"Jax@KC 01:00PM ET",1.440,"Jax"
"WR","De'Anthony Thomas",3000,"Jax@KC 01:00PM ET",2.267,"KC"
"WR","Demarcus Robinson",3000,"Jax@KC 01:00PM ET",0.000,"KC"
"RB","Darren McFadden",3000,"Dal@Cle 01:00PM ET",0,"Dal"
"RB","Lance Dunbar",3000,"Dal@Cle 01:00PM ET",4.375,"Dal"
"RB","Rod Smith",3000,"Dal@Cle 01:00PM ET",0.200,"Dal"
"RB","Keith Smith",3000,"Dal@Cle 01:00PM ET",0.786,"Dal"
"RB","George Atkinson III",3000,"Dal@Cle 01:00PM ET",0.000,"Cle"
"RB","Darius Jackson",3000,"Dal@Cle 01:00PM ET",0,"Dal"
"WR","Jordan Payton",3000,"Dal@Cle 01:00PM ET",0.325,"Cle"
"WR","Ricardo Louis",3000,"Dal@Cle 01:00PM ET",4.288,"Cle"
"WR","Lucky Whitehead",3000,"Dal@Cle 01:00PM ET",1.543,"Dal"
"WR","Rashard Higgins",3000,"Dal@Cle 01:00PM ET",1.038,"Cle"
"RB","Kyle Juszczyk",3000,"Pit@Bal 01:00PM ET",4.514,"Bal"
"RB","Fitzgerald Toussaint",3000,"Pit@Bal 01:00PM ET",0.414,"Pit"
"RB","Roosevelt Nix",3000,"Pit@Bal 01:00PM ET",0.000,"Pit"
"RB","Javorius Allen",3000,"Pit@Bal 01:00PM ET",1.900,"Bal"
"RB","Lorenzo Taliaferro",3000,"Pit@Bal 01:00PM ET",4.000,"Bal"
"WR","Devin Hester",3000,"Pit@Bal 01:00PM ET",-0.167,"Bal"
"WR","Darrius Heyward-Bey",3000,"Pit@Bal 01:00PM ET",5.114,"Pit"
"WR","Cobi Hamilton",3000,"Pit@Bal 01:00PM ET",9.100,"Pit"
"WR","Chris Moore",3000,"Pit@Bal 01:00PM ET",1.683,"Bal"
"RB","John Kuhn",3000,"NO@SF 04:05PM ET",4.914,"NO"
"RB","DuJuan Harris",3000,"NO@SF 04:05PM ET",7.700,"SF"
"RB","Travaris Cadet",3000,"NO@SF 04:05PM ET",4.971,"NO"
"RB","Marcus Murphy",3000,"NO@SF 04:05PM ET",0.000,"NO"
"RB","Daniel Lasco",3000,"NO@SF 04:05PM ET",1.050,"NO"
"WR","Keshawn Martin",3000,"NO@SF 04:05PM ET",-1.000,"SF"
"WR","Rod Streater",3000,"NO@SF 04:05PM ET",1.114,"SF"
"WR","Brandon Coleman",3000,"NO@SF 04:05PM ET",5.429,"NO"
"WR","Quinton Patton",3000,"NO@SF 04:05PM ET",5.386,"SF"
"WR","Tommylee Lewis",3000,"NO@SF 04:05PM ET",2.500,"NO"
"WR","Aaron Burbridge",3000,"NO@SF 04:05PM ET",0.429,"SF"
"WR","Jake Lampman",3000,"NO@SF 04:05PM ET",0.000,"NO"
"RB","Mike Tolbert",3000,"Car@LA 04:05PM ET",1.514,"Car"
"RB","Chase Reynolds",3000,"Car@LA 04:05PM ET",0.000,"LA"
"RB","Malcolm Brown",3000,"Car@LA 04:05PM ET",0.871,"LA"
"WR","Brenton Bersin",3000,"Car@LA 04:05PM ET",0.000,"Car"
"WR","Bradley Marquez",3000,"Car@LA 04:05PM ET",0.671,"LA"
"WR","Nelson Spruce",3000,"Car@LA 04:05PM ET",0,"LA"
"WR","Pharoh Cooper",3000,"Car@LA 04:05PM ET",0.000,"LA"
"WR","Mike Thomas",3000,"Car@LA 04:05PM ET",0.000,"LA"
"RB","Jordan Todman",3000,"Ind@GB 04:25PM ET",0.000,"Ind"
"RB","Josh Ferguson",3000,"Ind@GB 04:25PM ET",4.063,"Ind"
"WR","Devin Street",3000,"Ind@GB 04:25PM ET",1.500,"Ind"
"WR","Trevor Davis",3000,"Ind@GB 04:25PM ET",1.900,"GB"
"WR","Tevaun Smith",3000,"Ind@GB 04:25PM ET",0.000,"Ind"
"WR","Chester Rogers",3000,"Ind@GB 04:25PM ET",4.433,"Ind"
"WR","Geronimo Allison",3000,"Ind@GB 04:25PM ET",10.100,"GB"
"RB","Dexter McCluster",3000,"Ten@SD 04:25PM ET",1.800,"SD"
"RB","Jalston Fowler",3000,"Ten@SD 04:25PM ET",0.300,"Ten"
"RB","Antonio Andrews",3000,"Ten@SD 04:25PM ET",0.000,"Ten"
"RB","Kenneth Farrow",3000,"Ten@SD 04:25PM ET",0.717,"SD"
"WR","Andre Johnson",3000,"Ten@SD 04:25PM ET",3.688,"Ten"
"WR","Harry Douglas",3000,"Ten@SD 04:25PM ET",2.700,"Ten"
"WR","Marc Mariani",3000,"Ten@SD 04:25PM ET",0.000,"Ten"
"WR","Griff Whalen",3000,"Ten@SD 04:25PM ET",0.367,"SD"
"WR","Isaiah Burse",3000,"Ten@SD 04:25PM ET",0.000,"SD"
"WR","Tajae Sharpe",3000,"Ten@SD 04:25PM ET",6.125,"Ten"
"TE","Antonio Gates",3000,"Ten@SD 04:25PM ET",8.867,"SD"
"DST","Chargers ",3000,"Ten@SD 04:25PM ET",7.625,"SD"
"RB","Taiwan Jones",3000,"Den@Oak 08:30PM ET",0.580,"Oak"
"RB","Juwan Thompson",3000,"Den@Oak 08:30PM ET",6.100,"Den"
"RB","Jamize Olawale",3000,"Den@Oak 08:30PM ET",3.938,"Oak"
"RB","Andy Janovich",3000,"Den@Oak 08:30PM ET",1.988,"Den"
